Time (s),Current (A)
1167.15,0.0002906283
1168.31,0.0002907933
1169.45,0.0002907838
1170.61,0.0002909097
1171.76,0.0002909264
1172.92,0.0002909966
1174.08,0.0002910746
1175.24,0.0002912163
1176.4,0.0002913518
1177.55,0.0002916783
1178.71,0.0002920227
1179.87,0.0002922673
1181.03,0.0002924732
1182.19,0.0002927709
1183.35,0.0002928856
1184.5,0.000292859
1185.64,0.0002930049
1186.81,0.0002929553
1187.96,0.0002928365
1189.12,0.0002926067
1190.28,0.0002925849
1191.43,0.000292254
1192.57,0.0002919732
1193.74,0.0002917997
1194.88,0.0002915718
1196.04,0.0002911705
1197.19,0.0002909032
1198.34,0.0002907113
1199.49,0.0002905131
1200.65,0.0002902969
1201.8,0.0002901719
1202.95,0.0002900885
1204.09,0.0002903431
1205.25,0.0002902039
1206.4,0.0002903601
1207.56,0.000290747
1208.7,0.0002910713
1209.86,0.0002913821
1211.0,0.0002919558
1212.16,0.0002923682
1213.32,0.0002927573
1214.46,0.0002930354
1215.62,0.0002933514
1216.78,0.0002936831
1217.93,0.000293771
1219.07,0.0002937933
1220.22,0.0002939002
1221.38,0.0002937368
1222.52,0.0002937348
1223.67,0.0002934946
1224.83,0.0002934
1225.98,0.0002932777
1227.14,0.0002930791
1228.3,0.0002933504
1229.45,0.0002931934
1230.61,0.0002928967
1231.75,0.0002926526
1232.91,0.0002924378
1234.04,0.0002920757
1235.18,0.0002919598
1236.32,0.0002917152
1237.5,0.0002914581
1238.65,0.0002912539
1239.8,0.0002912184
1240.96,0.0002911845
1242.13,0.0002910923
1243.27,0.0002911398
1244.43,0.0002911713
1245.59,0.0002913358
1246.75,0.0002916031
1247.89,0.0002919831
1249.04,0.0002922573
1250.19,0.0002926191
1251.35,0.0002928865
1252.55,0.0002931692
1253.69,0.0002932238
1254.84,0.0002934789
1255.99,0.0002936606
1257.14,0.0002937456
1258.3,0.000293817
1259.44,0.0002937248
1260.58,0.0002937243
1261.72,0.0002937665
1262.92,0.0002934579
1264.05,0.0002933453
1265.19,0.0002933002
1266.35,0.00029292
1267.49,0.0002925947
1268.64,0.0002924418
1269.78,0.000292313
1270.97,0.0002920836
1272.1,0.0002918551
1273.26,0.0002918832
1274.41,0.0002918662
1275.57,0.0002917698
1276.71,0.0002917405
1277.86,0.0002917885
1279.0,0.0002916097
1280.16,0.0002915579
1281.3,0.0002915858
1282.44,0.0002916144
1283.62,0.0002917432
1284.78,0.0002919742
1285.92,0.0002920019
1287.05,0.0002922499
1288.23,0.0002924696
1289.38,0.0002925422
1290.53,0.0002928171
1291.67,0.0002928256
1292.81,0.0002929439
1293.95,0.0002928992
1295.11,0.000292982
1296.24,0.0002928464
1297.39,0.0002927036
1298.59,0.0002923796
1299.75,0.0002922307
1300.9,0.0002920402
1302.05,0.0002918399
1303.2,0.000291736
1304.34,0.0002917462
1305.5,0.0002925868
1306.66,0.0002927472
1307.82,0.000292557
1308.95,0.0002927542
1310.11,0.000292813
1311.26,0.0002931355
1312.39,0.0002931878
1313.54,0.0002933993
1314.7,0.0002934664
1315.86,0.0002934946
1316.99,0.0002935776
1318.14,0.0002937391
1319.27,0.0002936752
1320.42,0.0002935995
1321.56,0.0002937688
1322.69,0.0002934563
1323.88,0.0002930825
1325.03,0.0002929904
1326.18,0.0002930773
1327.32,0.0002925393
1328.48,0.0002925931
1329.63,0.000292534
1330.77,0.0002926359
1331.91,0.0002925442
1333.05,0.000292759
1334.19,0.0002928393
1335.33,0.0002927012
1336.53,0.0002928714
1337.68,0.0002930786
1338.87,0.0002927674
1340.01,0.0002927699
1341.15,0.0002926326
1342.29,0.000292793
1343.43,0.0002934053
1344.57,0.0002928556
1345.77,0.0002932694
1346.96,0.0002934862
1348.13,0.000293578
1349.27,0.000293544
1350.42,0.0002937624
1351.55,0.0002938761
1352.7,0.0002939018
1353.83,0.0002939272
1354.97,0.0002940179
1356.11,0.0002940169
1357.25,0.0002939264
1358.39,0.000293933
1359.52,0.0002938807
1360.71,0.0002937111
1361.9,0.0002935088
1363.04,0.0002934524
1364.19,0.0002933877
1365.32,0.0002932826
1366.47,0.0002930434
1367.65,0.0002930515
1368.8,0.0002928746
1370.0,0.0002927176
1371.14,0.0002927622
1372.28,0.0002925482
1373.43,0.0002925174
1374.58,0.0002924805
1375.78,0.0002926396
1376.92,0.0002926685
1378.06,0.0002929527
1379.2,0.0002931167
1380.34,0.0002933095
1381.49,0.0002935588
1382.67,0.0002937104
1383.81,0.000293718
1384.96,0.0002938551
1386.1,0.0002937952
1387.24,0.0002937361
1388.39,0.0002938267
1389.52,0.0002938411
1390.67,0.0002938223
1391.8,0.0002936885
1392.95,0.0002936954
1394.09,0.0002935136
1395.23,0.0002933576
1396.38,0.0002932792
1397.56,0.0002932284
1398.7,0.0002932782
1399.84,0.0002933354
1400.99,0.0002933912
1402.17,0.000293508
1403.36,0.0002935581
1404.5,0.0002934541
1405.69,0.0002934071
1406.83,0.0002933858
1407.97,0.0002933536
1409.15,0.0002932823
1410.29,0.0002933074
1411.43,0.0002932495
1412.57,0.0002929787
1413.72,0.0002929925
1414.85,0.0002928588
1415.98,0.0002925304
1417.13,0.0002916462
1418.33,0.0002914191
1419.47,0.0002916268
1420.61,0.0002917416
1421.75,0.0002914757
1422.89,0.0002913776
1424.04,0.0002910369
1425.24,0.0002908601
1426.39,0.0002907155
1427.52,0.0002904429
1428.69,0.00029048
